Deep Meaning	Expansion	Markup	Probability
[[end conversation]]	I'm sorry, but I should probably get back to work. Nice to see you. See you later.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.07919520547945208, 0.08047945205479455]
[[end conversation]]	I probably should get back to work too! Nice to see you. Take care.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working	[0.08047945205479455, 0.08261986301369866]
[[end conversation]]	I should probably head out. Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.08261986301369866, 0.08390410958904113]
[[end conversation]]	I probably should get back to work too! Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^PushObligation:goodbye^MiscFunctions:EndConversation^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4	[0.08390410958904113, 0.08690068493150688]
[[end conversation]]	Okay, well, I should probably head out. Nice to see you. Goodbye.	PushObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker	[0.08690068493150688, 0.08861301369863017]
[[end conversation]]	I think I probably should get back to work too! Nice to see you. See you later.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working	[0.08861301369863017, 0.09075342465753428]
[[end conversation]]	I think I should get back to work too! Yeah, bye...	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'	[0.09075342465753428, 0.0933219178082192]
[[end conversation]]	I probably should get back to work. Yeah, bye...	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.0933219178082192, 0.09375000000000003]
[[end conversation]]	No problem! Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^PushObligation:goodbye^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4	[0.09375000000000003, 0.09460616438356168]
[[end conversation]]	I'm sorry, but I really have to get back to work. Nice to see you. Take care.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.09460616438356168, 0.09589041095890415]
[[end conversation]]	Okay, well, I need to get back to work. Nice to see you. Bye.	PushObligation:goodbye^ResolveObligation:goodbye^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker^MiscFunctions:EndConversation	[0.09589041095890415, 0.09631849315068497]
[[end conversation]]	I'm sorry, but I really should get back to work. Nice to see you. Take care.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.09631849315068497, 0.09803082191780826]
[[end conversation]]	I should probably get back to work. Nice to see you. Bye.	Preconditions:lambda speaker: speaker.routine.working^ResolveObligation:goodbye^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^PushObligation:goodbye^MiscFunctions:EndConversation	[0.09803082191780826, 0.09931506849315073]
[[end conversation]]	Okay, well, I have to go. Yeah, bye...	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker^ResolveObligation:goodbye^PushObligation:goodbye^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4	[0.09931506849315073, 0.09974315068493156]
[[end conversation]]	I'm sorry, but I should get back to work. Nice to see you. Have a great [speaker.game.time_of_day].	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.09974315068493156, 0.10102739726027403]
[[end conversation]]	Okay, well, I should really get back to work. Yeah, bye...	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker	[0.10102739726027403, 0.10145547945205485]
